,pc1,target,phase_label
0,-3.3069052513881734,289.857,1
1,4.016912472019843,290.118,1
2,-6.4381624159755555,291.142,1
3,-0.9772058845146111,290.621,1
4,-4.149495132762352,288.381,1
5,-6.4189689279922755,292.137,1
6,20.59970734697081,293.223,1
7,-14.240676715892324,289.453,1
8,-8.47673800224143,289.14,1
9,-15.182957967693078,290.037,1
10,-9.386202425785724,290.27,1
11,1.2155753405970495,291.493,1
12,-35.03005060678689,289.717,1
13,-15.48323960656229,289.628,1
14,2.749891718524472,291.173,1
15,-12.178765115933793,289.208,1
16,6.681443665159351,291.252,1
17,-1.846113401174978,290.919,1
18,-17.503820088850716,290.324,1
19,-14.52561707401778,291.474,1
0,-13.776034070954022,289.6,2
1,3.6559902521980483,290.769,2
2,13.573083734242163,290.615,2
3,-20.088527565535514,288.736,2
4,-19.705561362550487,288.362,2
5,-9.583962371271552,288.999,2
6,12.391085475672941,289.369,2
7,18.597130433457878,290.066,2
8,3.5360034824521485,290.536,2
9,7.2334846060863,290.51,2
10,8.806412417595018,290.269,2
11,15.388933193754017,290.354,2
12,19.660456493356833,290.298,2
13,12.9657127678239,291.262,2
14,17.809830736252138,291.529,2
15,15.296618225226922,291.843,2
16,29.570427762602982,291.539,2
17,-11.720909795942573,289.426,2
18,44.70459734627173,290.902,2
19,27.853152384389013,291.362,2
