,pc1
0,-0.6789888381092115
1,-2.174075104194747
2,2.645861702789865
3,-3.6662424468696457
4,-2.51679325182207
5,0.24386356462152783
6,-0.6553736452829065
7,-0.5789995305387079
8,3.5025801966636223
9,5.417415520778927
10,-3.1954380590834717
11,0.9732001273745793
12,-2.060222864774822
13,-0.3023471596679698
14,3.737866373052942
15,-1.6055163658583929
16,1.241474117080798
17,-0.1389862768955354
18,-1.3544818326125867
19,1.164319020942075
20,-2.1302023831522363
21,-4.234955561834066
22,-1.9051288517543195
23,-8.645954292220926
24,0.15614396436292513
25,-1.5044856730129863
26,-1.8208285347282993
27,1.6415461695863367
28,-0.1460285008485964
29,-0.48024157319043104
30,2.83676395611215
31,2.6983586107476407
32,4.829566896009865
33,2.9790759068535784
34,3.611871458386026
35,-0.6427922358107424
36,1.2377001195652844
37,-1.4741623627962843
38,4.719679109345095
39,-1.7261588303417779
