,years,data,hindcast
0,1980,288.333,289.30047616126654
1,1981,289.055,289.0493692652112
2,1982,291.04,290.4038924374995
3,1984,288.322,288.0748468601423
4,1985,289.643,289.12262241141605
5,1987,289.333,289.3678759641774
6,1991,291.061,290.72733145611744
7,1993,288.967,289.06884938320985
8,1997,290.031,289.6277898980744
9,1998,289.0,289.6147771978188
10,2004,289.528,290.29089964994563
11,2007,289.656,290.47745102236223
12,2008,290.638,289.5142799607647
13,2009,290.627,290.9063073469143
14,2010,291.947,290.7843193304762
15,2011,288.608,289.31739666572196
16,2012,289.833,289.67267954331106
17,2014,292.264,291.6863473137581
18,2016,290.913,291.5375177027266
19,2019,291.269,291.5229704290873
20,1983,291.918,292.42983932536146
21,1986,289.446,290.23198782935617
22,1988,288.818,290.05765579551644
23,1989,290.432,289.34803438353265
24,1990,289.347,289.41410189780095
25,1992,290.83,290.9003439077316
26,1994,293.292,291.1499244519205
27,1995,292.216,291.5120339377906
28,1996,288.974,289.6276319903949
29,1999,291.331,290.40084409056857
30,2000,288.202,289.9121269474061
31,2001,291.095,290.59993811254407
32,2002,290.124,290.52425617838367
33,2003,291.463,291.72411157325377
34,2005,290.191,291.2916720753853
35,2006,294.316,291.43965158532035
36,2013,291.4,290.52116769055397
37,2015,290.835,292.1471104771329
38,2017,290.707,292.1848674060989
39,2018,292.908,292.42770034394806
