,pc1,target,phase_label
0,-222.70331723400864,35.431,1
1,-217.2450238549263,21.79,1
2,-14.743484465694916,78.559,1
3,-25.399403833923618,64.688,1
4,17.379900923081596,78.439,1
5,205.83509678494195,85.773,1
6,-427.7902053079778,11.86,1
7,-133.7777064226487,28.147,1
8,87.89164699333274,65.297,1
9,-5.003273959697839,76.353,1
10,244.60991576828692,95.436,1
11,189.3715574357414,60.53,1
12,17.764832394816256,51.755,1
13,77.3788030411062,37.054,1
14,-0.33844644890881936,23.97,1
15,-135.15286029605872,17.259,1
16,-7.971296307850191,93.777,1
17,157.02324708214923,52.13,1
18,-107.21654767677501,30.591,1
19,300.0912998331975,102.506,1
0,-430.73391366119745,41.59,2
1,-231.28732003018123,35.788,2
2,1858.1674735423958,105.42,2
3,-11.837940565619533,33.606,2
4,-603.7876638596747,27.742,2
5,-675.5903342447892,64.463,2
6,-517.4321690340132,46.967,2
7,255.929482785502,57.617,2
8,-121.35134600052069,50.114,2
9,240.91818301512137,42.515,2
10,1789.687017065788,131.575,2
11,-295.7855082704315,51.564,2
12,-491.45348553691406,45.281,2
13,-157.8413015154708,77.407,2
14,-769.0671175141181,1.605,2
15,825.2586721337293,27.16,2
16,-1070.4126884496686,31.149,2
17,-723.9702501136919,27.186,2
18,1267.3348284287763,67.439,2
19,-136.74384731040814,32.685,2
