,pc1,target,phase_label
0,54.20167276918213,274.878,1
1,-66.1402300351029,276.033,1
2,52.96729363300168,274.108,1
3,60.907503137347575,275.466,1
4,-69.00071666177361,277.77,1
5,-17.9547724768724,278.597,1
6,-97.77289974517794,280.507,1
7,11.687410057343167,272.82,1
8,1.5513509027448598,276.052,1
9,66.73530465222046,274.72,1
10,-68.57269643101172,278.932,1
11,8.951772466023288,276.585,1
12,17.845467578262674,278.992,1
13,-56.44812455323364,277.989,1
14,59.59725782895254,275.683,1
15,-21.671621364163514,279.131,1
16,90.40383425423815,276.667,1
17,-58.85214482176452,277.781,1
18,-35.00892817778383,277.869,1
19,66.57227550498371,274.074,1
0,1.7499756829247766,277.92,2
1,5.657962744699151,272.646,2
2,6.485571307604325,269.837,2
3,1.426130243422143,275.306,2
4,7.895822933890735,278.027,2
5,0.763574171598278,279.698,2
6,4.4023256788910174,273.615,2
7,-9.844520019867215,279.234,2
8,-0.5889477811539408,277.524,2
9,1.4776347817387157,280.012,2
10,-0.2959050617781585,275.199,2
11,-1.3174610876563106,275.991,2
12,-9.4207282151002,278.257,2
13,0.39394320113289627,276.289,2
14,1.3733395195781455,274.59,2
15,-14.444714979125923,277.556,2
16,0.8919604758666911,273.954,2
17,0.026158845291892625,274.828,2
18,-0.6401385460808957,279.408,2
19,4.008342408812263,279.191,2
