,pc1,target,phase_label
0,-91.7793196090295,284.489,1
1,60.49956492724579,285.696,1
2,8.85614628791307,285.12,1
3,-108.62873399483816,282.873,1
4,-20.141903783957112,285.307,1
5,-70.75265117954714,282.721,1
6,-82.45102669031243,282.564,1
7,20.648953178288657,287.684,1
8,-2.7052394406915523,286.531,1
9,-13.082321562408374,285.355,1
10,-165.02493635598853,283.04,1
11,74.95487444501072,285.102,1
12,-16.37610693252777,286.464,1
13,38.90353059947995,286.875,1
14,30.697179390494394,286.611,1
15,-1.4012575796219906,286.399,1
16,36.917596430968004,286.328,1
17,4.007592496963823,286.411,1
18,91.62025798288242,286.392,1
19,36.584364925283644,284.365,1
0,-15.602498303554082,283.518,2
1,-4.837848414225124,285.412,2
2,26.72655120649489,286.423,2
3,38.78571216134366,286.484,2
4,-5.912200144554683,286.425,2
5,6.478338162412552,284.956,2
6,18.17903125123738,286.977,2
7,42.12579656833481,286.26,2
8,29.34461873647507,285.916,2
9,-7.89788738946175,285.875,2
10,-7.644109641764097,284.782,2
11,-5.103062392999932,284.998,2
12,68.69581525662609,287.857,2
13,-22.492983359378616,283.077,2
14,36.26811938916017,283.857,2
15,29.4407804215899,286.005,2
16,-2.484506917759971,284.79,2
17,34.09395472110135,286.869,2
18,23.888291520135397,287.239,2
19,47.442838484884874,288.522,2
