,pc1
0,5.413829968052729
1,1.8934944231648871
2,3.3527070098709255
3,-1.2872904550483566
4,-8.30583127313706
5,1.0803329664377017
6,-1.8386769084715195
7,0.5232089028193236
8,-4.501978383377778
9,-0.6621886882832871
10,10.599158767114533
11,4.144652701169837
12,3.5246196998984267
13,1.2240340267320444
14,-1.343856895352166
15,-3.6401416736610943
16,-8.149933918920235
17,9.273016456903354
18,-2.499927471755239
19,-8.798492264004132
20,4.016194664524468
21,-4.996638821394419
22,-1.8833976306178246
23,2.9699688706085614
24,4.654025469027842
25,-0.5687937767861487
26,-2.04913505358504
27,-7.546348271297866
28,1.4588488575320058
29,5.69989339918048
30,2.3570956479114815
31,-2.1359197154496554
32,-11.292383543220875
33,8.169394819179386
34,6.530062349596801
35,3.393714070860544
36,-0.3927959946435659
37,-3.471002799840584
38,-5.187587883173379
39,0.2744344873783276
