,pc1,target,phase_label
0,5.413829968052729,288.333,1
1,1.8934944231648871,288.322,1
2,3.3527070098709255,289.333,1
3,-1.2872904550483566,288.818,1
4,-8.30583127313706,290.432,1
5,1.0803329664377017,289.347,1
6,-1.8386769084715195,291.061,1
7,0.5232089028193236,288.967,1
8,-4.501978383377778,292.216,1
9,-0.6621886882832871,288.974,1
10,10.599158767114533,290.031,1
11,4.144652701169837,289.0,1
12,3.5246196998984267,289.528,1
13,1.2240340267320444,290.191,1
14,-1.343856895352166,290.638,1
15,-3.6401416736610943,290.627,1
16,-8.149933918920235,291.947,1
17,9.273016456903354,288.608,1
18,-2.499927471755239,292.264,1
19,-8.798492264004132,292.908,1
0,4.016194664524468,289.055,2
1,-4.996638821394419,291.04,2
2,-1.8833976306178246,291.918,2
3,2.9699688706085614,289.643,2
4,4.654025469027842,289.446,2
5,-0.5687937767861487,290.83,2
6,-2.04913505358504,293.292,2
7,-7.546348271297866,291.331,2
8,1.4588488575320058,288.202,2
9,5.69989339918048,291.095,2
10,2.3570956479114815,290.124,2
11,-2.1359197154496554,291.463,2
12,-11.292383543220875,294.316,2
13,8.169394819179386,289.656,2
14,6.530062349596801,289.833,2
15,3.393714070860544,291.4,2
16,-0.3927959946435659,290.835,2
17,-3.471002799840584,290.913,2
18,-5.187587883173379,290.707,2
19,0.2744344873783276,291.269,2
