,pc1
0,-1.702956166274252
1,-1.3022264038284999
2,-3.8557861588357487
3,-3.475733911551976
4,-0.3651162968747461
5,-0.2849039760637577
6,-0.01733968794857061
7,2.8845484557316867
8,-0.47944769301235274
9,2.0323773860375436
10,0.7063313079349177
11,2.7347941680801418
12,0.4718841887989095
13,1.7076894272347147
14,-0.07038983305196421
15,-0.5898999457797828
16,0.5381112060726796
17,1.545805757488678
18,0.13817392869181963
19,-0.6153518971977664
20,-0.6767247266824941
21,8.952441865988378
22,5.5364357322067965
23,12.591218739252254
24,0.3654338181209214
25,2.251849081590763
26,-3.3094898244772906
27,-4.809075478939466
28,0.4324204140640525
29,-1.3733650912261801
30,-0.4355487010344465
31,-0.6365849001673746
32,0.2385711385484328
33,-1.7172369542032326
34,-2.319296785106055
35,3.705379140520852
36,-2.5864415518637363
37,-6.168805715523095
38,-4.956909849768461
39,-5.08454903200534
