,pc1
0,-3.5588264635541798
1,-4.743745450811612
2,-2.0705052289140555
3,-6.305041353406563
4,6.93718538338305
5,6.074094086989662
6,0.0005562341985177952
7,-2.256351231272471
8,-1.3340946694789861
9,4.418096047138989
10,-9.486708293509107
11,-1.3148820484041752
12,8.333592654534137
13,0.49629001388356386
14,1.9985822679613086
15,-3.745997567774635
16,13.88958364315914
17,1.3819174434000416
18,-0.6206269037119264
19,-8.093140934114142
20,-3.672191036828906
21,-23.393025664503764
22,-3.8945273254222577
23,7.158340432438011
24,32.49461557402494
25,-23.623183405172192
26,7.5313594283902585
27,1.5398453229720748
28,29.292804332078173
29,-13.25747755931083
30,8.579296077263269
31,-21.511750057651874
32,29.42153649246248
33,-13.779879595046456
34,-9.583648800586175
35,-11.703871761230799
36,9.801841265416412
37,-5.841519235605344
38,-4.59444070835454
39,9.036625439574411
