,pc1,target,phase_label
0,39.907201098605185,37.258,1
1,-19.971035314632854,88.868,1
2,4.994035449932556,27.303,1
3,22.39917245079704,85.939,1
4,-14.431889823720052,87.189,1
5,15.088020245792881,43.995,1
6,33.38265193326558,22.764,1
7,-4.924784782459507,65.7,1
8,-11.264403983157203,89.989,1
9,29.69216702787121,98.744,1
10,13.355762860989525,67.593,1
11,-12.017244897263627,146.934,1
12,-24.805073515095113,153.639,1
13,-35.704871929004455,192.569,1
14,26.8081884503923,46.274,1
15,0.3455242620390099,90.667,1
16,-32.598973036914785,123.29,1
17,9.325923859115065,57.581,1
18,-17.539359108127577,75.391,1
19,-22.04071539371895,76.337,1
0,-0.08268575670378044,67.597,2
1,22.378612709474833,31.294,2
2,3.0995861017665667,104.175,2
3,-15.761570358709335,72.625,2
4,-1.982517239437459,58.181,2
5,-6.267066760643887,128.278,2
6,11.831123519812193,22.497,2
7,27.887348437625825,54.355,2
8,-8.695982102596048,99.367,2
9,3.564887837143992,51.303,2
10,-5.069680063150887,107.73,2
11,7.7930403969226445,22.521,2
12,1.6640477938650107,101.65,2
13,20.594068108002176,52.895,2
14,-4.1826310503594915,114.817,2
15,-32.60810107506147,146.264,2
16,-5.914389197659427,128.736,2
17,1.5088880760050414,40.892,2
18,-9.716647996628248,126.343,2
19,-10.03940266998712,94.606,2
