tpNetherlandsCUMULATION
1979 2021
61.434	62.581	107.007	65.139	98.919	77.334	36.319	84.361	43.020	56.921	76.863	131.769
58.656	60.543	70.785	41.590	23.550	87.790	142.421	67.597	42.647	107.769	72.959	73.573
93.396	42.983	133.083	35.788	102.754	69.787	54.994	37.258	61.647	150.743	79.103	63.801
43.574	18.836	72.010	35.431	53.242	93.726	32.713	88.868	59.112	104.269	70.765	83.430
104.552	42.887	81.020	105.420	118.897	40.005	22.256	31.294	117.240	59.157	59.341	63.898
127.765	61.249	62.897	21.790	106.870	54.762	95.445	27.303	147.559	95.183	78.441	57.754
62.145	9.737	66.121	78.559	63.013	126.504	100.845	104.175	48.916	36.531	73.801	100.249
118.281	5.396	80.055	64.688	49.026	56.932	53.760	85.939	48.164	94.807	84.644	125.430
40.212	35.931	77.728	33.606	69.350	96.289	134.540	87.189	66.991	102.308	110.221	47.004
138.661	87.706	114.519	27.742	71.891	31.234	151.791	72.625	99.143	79.420	43.995	61.158
24.550	59.844	101.191	78.439	14.875	67.167	59.596	58.181	52.760	78.906	36.577	99.994
62.735	96.374	25.981	64.463	35.434	81.754	43.238	43.995	93.283	70.054	88.055	71.359
65.731	29.076	29.050	46.967	35.415	100.819	86.473	22.764	69.854	48.361	121.381	44.356
40.056	32.844	89.110	57.617	48.605	52.100	62.719	128.278	66.034	99.880	114.020	59.721
79.516	24.723	13.215	50.114	72.616	49.037	138.492	65.700	149.343	80.441	62.847	142.547
85.403	36.500	94.185	85.773	59.619	51.526	21.875	89.989	147.073	97.190	50.598	112.219
129.885	78.175	94.794	42.515	94.810	64.760	45.937	22.497	112.688	18.716	32.260	40.513
16.128	60.069	22.462	11.860	57.327	28.135	59.759	98.744	48.278	73.760	130.482	45.022
8.558	84.606	28.956	28.147	78.281	112.482	69.497	54.355	29.832	81.025	56.974	77.391
88.083	20.720	89.451	131.575	44.951	136.999	77.728	67.593	154.753	178.649	92.019	78.078
91.580	56.135	87.335	65.297	63.864	86.734	54.398	99.367	83.683	65.748	52.177	142.156
47.352	98.677	60.097	76.353	97.272	55.016	102.948	51.303	85.150	130.409	131.480	86.350
85.522	83.660	86.263	95.436	47.375	56.749	87.775	107.730	144.184	73.237	85.690	73.461
67.263	111.308	40.985	60.530	64.664	77.791	94.124	146.934	57.527	87.438	88.661	93.864
73.574	23.337	22.165	51.564	85.303	47.241	76.224	22.521	46.909	74.576	56.468	90.195
107.224	64.951	47.676	45.281	37.014	70.647	104.082	153.639	68.272	55.873	66.664	54.078
53.984	50.053	63.614	77.407	76.444	55.748	109.448	101.650	79.997	58.746	66.791	50.890
18.287	57.903	63.245	51.755	97.350	34.652	25.725	192.569	31.076	104.882	79.284	99.225
116.525	88.808	65.310	1.605	116.553	100.404	166.442	52.895	74.653	38.236	63.658	75.825
98.910	39.917	110.582	37.054	58.692	40.784	105.991	114.817	79.746	92.717	87.040	32.104
59.608	62.017	55.879	23.970	51.130	75.436	103.684	46.274	40.197	74.388	119.023	98.371
49.822	91.629	56.222	27.160	63.402	33.738	68.740	146.264	93.053	76.197	80.795	51.992
71.904	54.225	20.289	17.259	34.522	94.747	163.954	128.736	68.379	69.306	17.077	135.773
90.297	25.182	29.574	93.777	68.418	122.004	133.298	90.667	79.252	131.109	62.300	126.017
56.091	42.502	46.140	31.149	89.413	63.597	58.307	40.892	81.322	135.237	95.385	74.252
90.505	81.808	34.110	52.130	111.149	53.205	91.657	126.343	25.215	79.961	64.116	89.714
107.204	54.846	61.790	27.186	61.485	35.568	95.021	123.290	98.359	34.891	119.425	54.183
107.938	72.694	69.496	67.439	61.366	113.147	56.599	57.581	28.704	57.946	75.849	19.912
56.353	67.993	58.125	30.591	37.424	63.719	125.550	75.391	131.717	63.675	71.566	122.767
94.423	28.985	81.364	102.506	48.213	26.890	19.792	94.606	68.288	34.768	34.970	89.451
48.710	53.845	101.839	32.685	39.454	106.981	49.361	76.337	112.171	119.963	74.313	84.951
60.422	131.383	49.325	24.385	17.802	67.278	73.534	91.375	61.863	137.807	45.381	109.639
90.618	60.752	54.855	51.776	118.604	106.484	97.358	99.275	33.612	138.243	67.495	69.243
