,years,data,hindcast
0,1982,285.12,284.66416173098446
1,1985,285.307,284.99149994225354
2,1986,285.412,284.41581267262336
3,1989,286.484,286.1112333847988
4,1996,283.04,284.4356582302711
5,1997,285.102,284.52037152666685
6,1999,286.464,287.4179142140512
7,2000,286.875,287.1470444811057
8,2001,286.26,286.40989202614344
9,2002,285.916,286.07886005594577
10,2004,284.782,285.70346751703124
11,2006,286.611,286.41813201680804
12,2008,287.857,287.01702030289175
13,2009,286.328,286.60110017726976
14,2011,286.411,285.91910231547445
15,2012,286.392,286.84036180271175
16,2013,283.857,285.77577287713495
17,2014,286.005,285.7075331351178
18,2017,287.239,286.7598769279476
19,2018,288.522,287.04918466276825
20,1980,284.489,284.2712302202296
21,1981,285.696,284.3268760519015
22,1983,283.518,284.2660846536988
23,1984,282.873,283.83655416263576
24,1987,282.721,283.0894280868658
25,1988,286.423,285.07823900624277
26,1990,286.425,286.75215865840266
27,1991,282.564,284.4115153376074
28,1992,287.684,285.34122726629425
29,1993,286.531,285.1221633911657
30,1994,284.956,284.26273039507475
31,1995,285.355,285.7706563622317
32,1998,286.977,286.3388124419594
33,2003,285.875,285.55706128227683
34,2005,284.998,285.33813434496307
35,2007,286.399,287.16427156209045
36,2010,283.077,284.2320712097596
37,2015,284.79,285.2775308511957
38,2016,286.869,285.73403611568295
39,2019,284.365,286.414218599722
