,years,data,hindcast
0,1981,276.288,275.96748159633916
1,1982,274.72,276.46370144644794
2,1984,276.784,276.12921840747936
3,1987,271.057,273.8994207578294
4,1989,278.043,278.6942279892905
5,1990,278.845,277.5228284626179
6,1993,278.069,275.8690190634812
7,1995,277.265,275.80120515230294
8,1996,273.074,276.7514136517593
9,1998,277.962,275.5915461372166
10,1999,278.422,277.83665049496085
11,2000,277.795,277.4781844918819
12,2002,277.709,277.74047351229126
13,2004,277.014,276.1705333815388
14,2005,278.562,278.0350484083411
15,2008,279.489,280.5405325618282
16,2009,274.322,276.29612137470025
17,2014,278.727,278.15469036257815
18,2017,275.05,274.63080633460567
19,2018,278.531,278.15489641250883
20,1980,273.943,275.9440275854296
21,1983,279.392,279.05367701892163
22,1985,270.812,274.63006721926774
23,1986,275.801,274.97893489722367
24,1988,279.107,277.36679068968544
25,1991,276.5,275.5438857699575
26,1992,276.297,276.6687146359755
27,1994,278.452,276.1520452061225
28,1997,272.26,274.80772221423615
29,2001,275.967,275.2236054682036
30,2003,276.099,277.21963715117215
31,2006,274.907,275.1068208346521
32,2007,280.328,277.37512832871334
33,2010,273.085,276.95486932321126
34,2011,276.64,274.2062344534169
35,2012,278.003,275.1338475972086
36,2013,275.183,275.937983693276
37,2015,277.328,276.91305087914594
38,2016,278.048,278.9979331730464
39,2019,276.946,276.8830238611324
