,years,data,hindcast
0,1981,280.887,281.0680074520473
1,1983,281.012,280.12092270556997
2,1989,279.764,281.9390966221581
3,1990,281.554,280.97507508926833
4,1993,283.39,281.6589270458886
5,1995,281.704,281.80048837001436
6,1997,280.565,281.1141672498434
7,1998,281.883,281.82038917830965
8,1999,282.477,282.2296136997335
9,2000,282.301,282.5521796211635
10,2001,281.007,281.4982126354448
11,2002,282.097,282.2413802132523
12,2006,281.341,282.25940861453176
13,2008,281.561,281.529064088534
14,2011,285.153,282.6088871470242
15,2012,281.008,281.57449447963586
16,2016,281.366,281.7928253259807
17,2017,281.415,282.7748691681834
18,2018,284.252,283.2725625225588
19,2019,283.321,283.2274287708571
20,1980,280.636,281.0826056273535
21,1982,280.365,281.8572007997641
22,1984,280.48,279.70841139158773
23,1985,281.02,281.21321568789074
24,1986,278.836,280.5028613055972
25,1987,282.799,281.915187296764
26,1988,281.178,281.02368042938707
27,1991,281.061,282.48207939402505
28,1992,281.38,281.8375527858586
29,1994,281.155,281.3380652886263
30,1996,281.506,281.19510441181615
31,2003,282.527,282.677691385905
32,2004,283.034,281.9065224842017
33,2005,282.719,281.3351178222758
34,2007,285.113,282.94770602612846
35,2009,284.289,282.44877774510803
36,2010,281.973,282.63650085121924
37,2013,280.442,283.0028706203509
38,2014,284.424,282.76102074371687
39,2015,281.463,282.5278279024229
