,pc1
0,-356808.5350526462
1,-366724.627550522
2,-342344.96980106266
3,-363717.1920062298
4,-372482.73510509316
5,-352571.3900346918
6,-349828.8399470027
7,-366721.2216427354
8,-371388.9251833238
9,-356059.22419460455
10,-362687.9513415008
11,-364240.93988831015
12,-370331.3736289413
13,-357773.90402775595
14,-354003.7027104869
15,-365763.8462629295
16,-360050.89288477256
17,-359252.7417558866
18,295942.6270608006
19,304144.10129425884
20,312753.6759724128
21,292010.4738379521
22,308863.2161058998
23,311953.87737068103
24,306701.1208825226
25,298307.89027422154
26,311129.86925122514
27,311508.3650340198
28,308792.6598660953
29,304120.74383205414
30,303681.23410730105
31,297225.1266474539
32,307159.91602288693
33,308913.184154982
34,292735.5462346894
35,313466.70732087456
