,pc1
0,-295317.2978136575
1,-292559.3187644508
2,-291144.833240213
3,-302728.41451108304
4,-299642.85673212307
5,-294188.91239625757
6,-295627.31728808745
7,-286219.68808032514
8,-297275.51042355463
9,-295684.88271735545
10,-288532.36198366125
11,-295494.08380459686
12,-295644.0519818568
13,-293994.33961342677
14,-291597.75905773503
15,-305668.8634995253
16,-289294.52508111077
17,-300674.0467940748
18,-289373.57478824444
19,-297814.318458769
20,-295851.30373464606
21,-532218.1417249489
22,-539774.383596359
23,-531046.6377243703
24,-539933.6740975771
25,-534508.5182033079
26,-541197.6554081291
27,-540947.879632679
28,-536171.4957605522
29,-535049.001914979
30,-531065.2857921247
31,-538601.8981259428
32,-542904.7139705953
33,-548052.6648832946
34,-532214.9355939627
35,-539679.9539592968
36,-536098.9274607148
37,-541563.9659581218
38,-534758.5968069934
39,-536257.376163295
40,-534408.8776811858
41,-535184.3603140881
42,-538235.8753307986
