,pc1
0,-205547.67544171726
1,-195488.89648137795
2,-203122.86510211567
3,-211209.3294088185
4,-202273.85009628735
5,-197464.97771886934
6,-204444.24511088536
7,-203222.64965574595
8,-211565.453936139
9,-210335.12046705128
10,-208942.8004490904
11,-204478.70663782372
12,-202673.32620792353
13,-206576.99121618705
14,-201123.50953437376
15,-200963.16465328124
16,-205133.3006661462
17,-206627.23536869563
18,-201570.34685284065
19,-212700.23886330772
20,-513764.19215806137
21,-511793.44425482996
22,-511425.08963911433
23,-518755.25622675393
24,-530490.0125634028
25,-531813.3926155892
26,-522791.26639236126
27,-528004.8875810585
28,-522122.2312154271
29,-523532.597343917
30,-525656.3915973012
31,-527888.4909483439
32,-522269.8282878103
33,-520313.8255494845
34,-516721.3938669899
35,-523097.45155376283
36,-519195.4939367361
37,-517477.5760271123
38,-525537.420243719
39,-525613.9645379935
40,-515008.46764650044
