,pc1
0,-27.463038322330657
1,49.614641948072475
2,68.21419522562974
3,-16.965477817928956
4,-51.7888789446846
5,-47.96001833336486
6,77.39013445135495
7,37.436684398125855
8,-116.6789294640573
9,-16.96519766969179
10,22.020970836016414
11,65.20738668652643
12,-5.204058911380402
13,22.493778701736552
14,-32.481299466251784
15,-50.2017214804597
16,-49.5111885977574
17,54.749497564937734
18,-8.708466250333451
19,26.801792581714558
20,-4.039259164494626
21,-30.085610804451512
22,-18.555128340121783
23,55.272778731613684
24,29.88375718008633
25,19.179106241436383
26,-13.572386355666882
27,-5.142561302386309
28,-6.186581509745672
29,-26.73916814057414
30,20.521019446376158
31,-12.29313939472852
32,27.494011670384538
33,34.84042106794026
34,-79.15113315117124
35,-46.337206774070175
36,18.75215249847782
37,-4.685205537789307
38,-1.730859012281288
39,42.57544991269405
