,pc1,target,phase_label
0,3.4440484973439327,289.857,1
1,1.4239258578723692,290.118,1
2,0.2872796043871697,290.769,1
3,5.5935740996835985,290.615,1
4,5.079198771460078,288.736,1
5,0.8611159090366796,288.999,1
6,9.086567080599758,289.369,1
7,6.23029915322001,290.066,1
8,3.877106024341962,291.142,1
9,3.5281941380111066,290.621,1
10,2.080597856340798,290.536,1
11,5.233488773659621,288.381,1
12,4.547672064166301,292.137,1
13,5.9123599669427955,290.269,1
14,-3.9338604681990184,293.223,1
15,6.826529068236291,289.453,1
16,4.721997364999722,291.539,1
17,6.0510743178515956,289.14,1
18,5.537101470374747,289.628,1
19,6.410274736995286,289.208,1
0,-13.10416605533573,289.6,2
1,-10.077355889557865,288.362,2
2,-40.181509869400664,290.51,2
3,-13.844969997619078,290.354,2
4,-21.263308246727966,290.298,2
5,-19.396998577219946,291.262,2
6,-38.16264968635708,291.529,2
7,-31.195644983443415,291.843,2
8,-18.725438204590862,289.426,2
9,-18.490008776209667,290.037,2
10,-8.850205001718177,290.27,2
11,-20.38480963596151,291.493,2
12,-16.350729781708246,289.717,2
13,-33.88241585150025,291.173,2
14,-26.74262416977148,290.902,2
15,-44.90940640618519,291.252,2
16,-37.80786525335668,290.919,2
17,-24.21786665012205,290.324,2
18,-26.576634487967553,291.362,2
19,-19.690111407953804,291.474,2
