,pc1
0,1.1431180241590415
1,4.189739488747458
2,-2.354430523259904
3,24.51531470971935
4,0.6032036359284828
5,-1.2979395290512652
6,-21.58160952595062
7,12.533530312421624
8,4.5902265826580315
9,19.863983219504757
10,4.242019395011115
11,-13.603807148077461
12,-25.70122208839013
13,24.610997218211434
14,0.23845155247184796
15,25.016242058073825
16,-5.473380249851661
17,-55.496121266726135
18,-2.7901103078896217
19,6.75164923508543
20,1.4410101080407065
21,-0.45967267308403015
22,-5.600360017357339
23,3.6029032822973583
24,6.38875714544276
25,-0.23626379325483324
26,3.271951458128773
27,3.8930076702820093
28,9.237611293652364
29,5.053678164805715
30,-6.702328680875024
31,6.221671048427949
32,0.699862381330971
33,-7.824125990364226
34,2.688977754223581
35,-11.700690341580367
36,-1.0107102633115403
37,0.0167551018574569
38,-3.3103828851364536
39,-5.6714694899960385
