,pc1
0,25.277595943345197
1,-119.51038049054777
2,-61.188044549216286
3,-241.27084955880582
4,16.752288860175863
5,-119.73430962131457
6,-139.99557312688052
7,-154.50691293572118
8,163.4136524865537
9,-112.77939686161955
10,-100.54451935970953
11,178.73519714187438
12,4.878905279688403
13,-65.8081645957327
14,241.83001790397674
15,69.2690864187525
16,54.61001330584176
17,90.8753310421433
18,393.35722543957945
19,-123.6686406774944
20,-477.4940380048489
21,-128.28704266683926
22,-968.1531644505201
23,-107.5804521336867
24,-527.9383853518292
25,199.84970117827004
26,-47.52024352507216
27,128.00540980660028
28,94.11911435615531
29,-170.56470740652466
30,-233.67410313407976
31,-231.97219842106102
32,146.72383202556455
33,178.77907838972192
34,528.0627905245956
35,568.7819365239978
36,718.9475999988997
37,-426.9320776083056
38,356.65355866611577
39,400.2000702569113
