,pc1
0,119.02464270140955
1,111.18364049176166
2,-257.74499345654135
3,-416.20112159841625
4,126.39633795006733
5,179.47524042847493
6,139.2711140772429
7,71.72819697732544
8,27.449842817766278
9,90.80279332673555
10,-91.71662879960294
11,281.45013078180153
12,-252.7897661110159
13,269.07195935428126
14,157.40965372956566
15,61.02974027324987
16,-104.09757231497925
17,-58.12233494056296
18,-167.0217956425945
19,-286.595783743668
20,-300.21900885372645
21,-86.21396124613382
22,22.195146139075412
23,263.17448035972524
24,154.93877965674275
25,347.14437824965853
26,167.81937012451218
27,-240.9813432870566
28,77.42176237397547
29,-100.8186750277834
30,-17.58988670684922
31,64.79174923202224
32,61.359543735582086
33,-124.64865631824273
34,-126.36372429778963
35,67.71918689670214
36,259.16700094911056
37,45.75263687843118
38,-121.09868595031271
39,-413.5524473007336
