,pc1
0,-640.077193863313
1,-352.92434770963933
2,-926.8612226045127
3,-617.8693571635043
4,-612.2597705358155
5,-735.5821896667403
6,-446.64079842677654
7,-567.6641195433092
8,-570.9967309321996
9,-56.75600496623915
10,-589.9386101602361
11,-639.8170058158535
12,-579.6921266454644
13,-364.5747752654602
14,-643.5756385896456
15,-728.9465733002218
16,-402.66221862172927
17,-592.6598140494416
18,-347.62680706499935
19,-374.13910612010073
20,594.2787671031929
21,1152.2367751429551
22,1369.1672842146797
23,1052.9042368547316
24,749.2424371178568
25,757.0586969645318
26,1260.6703333059634
27,855.5171842045098
28,911.9315672609225
29,1260.0205417305942
30,893.5253272284453
31,865.3898542513153
32,762.627946414328
33,539.8372517318362
34,666.8628689053182
35,1166.5638172713075
36,853.3682381185904
37,722.9645495040809
38,1027.583412920307
39,568.7016112917257
