,years,data,hindcast
0,1980,288.542,287.6589156837901
1,1982,288.852,288.695432510469
2,1985,287.425,286.49401343459607
3,1987,287.798,287.7412330928928
4,1993,286.379,287.79195665357815
5,1998,288.047,287.3998890991067
6,2000,288.952,288.4504859200006
7,2001,286.703,287.9736636579822
8,2004,288.368,287.9171232633183
9,2006,290.885,290.0730896640796
10,2007,287.305,287.8381932203931
11,2008,286.909,287.6404236286596
12,2009,288.244,287.94512902507023
13,2010,286.854,288.893059419384
14,2011,288.688,287.64932909789104
15,2012,287.323,287.3338614525849
16,2014,289.191,288.64505997091777
17,2015,286.663,287.8520407694305
18,2016,290.729,289.03448267378576
19,2019,287.939,288.768617762069
20,1981,288.252,288.12575133185277
21,1983,287.357,286.7370738700733
22,1984,286.735,286.00058125144585
23,1986,284.947,286.60758991031577
24,1988,287.103,287.89926424954217
25,1989,288.678,287.94673938316595
26,1990,286.559,286.53830990436427
27,1991,288.298,287.8131442892761
28,1992,287.579,287.51291876082354
29,1994,286.749,286.6644363030099
30,1995,287.466,287.5936124317352
31,1996,286.063,287.2735332589671
32,1997,287.549,287.918095015374
33,1999,290.397,288.9096128894286
34,2002,288.122,288.5154610787474
35,2003,287.965,286.94615864041356
36,2005,289.039,288.0064366773976
37,2013,287.608,287.9684994628183
38,2017,287.154,287.7097346931109
39,2018,288.213,289.1460465981384
