,pc1
0,29.84516117514155
1,475.74814697768454
2,88.29364402686394
3,101.17178188343581
4,148.79090595165144
5,5.303529882816075
6,-188.43937591642546
7,118.61700279442
8,-9.567102300272516
9,-269.75030200252644
10,-74.98630404212858
11,74.14230859327616
12,-6.7627320361539445
13,-64.28544989169167
14,5.528571542181785
15,-0.26180472794325327
16,-42.89830574791582
17,-15.962138686575251
18,-216.0710980141144
19,-158.47054905232804
20,22.50152287365187
21,-210.02379140817237
22,59.152445457975524
23,204.00748002255327
24,-11.101122593884877
25,-103.55779049405677
26,36.62886102916796
27,-40.95772110875133
28,-210.2822405036263
29,179.31044308613446
30,-32.87417245104399
31,336.83669234569896
32,-47.68552040812422
33,-297.89410641862105
34,-38.29978128552921
35,-132.02929846782746
36,-28.73589531978268
37,135.49668059711178
38,104.60863146619943
39,74.8986462782005
