,pc1
0,-6.132858613220939
1,-1.7611540669831323
2,-4.694972652319912
3,-7.618781835525168
4,-4.5549392903783215
5,5.868006189844173
6,-6.330399499779219
7,-7.659057592918017
8,8.96884830087097
9,5.975785618227473
10,1.0214939058885182
11,-2.743898997347506
12,11.196748545785537
13,-3.581265624308319
14,5.914217040140604
15,7.563967016027245
16,-4.793513576642066
17,-1.7278283652400739
18,-0.21310508326099148
19,5.303023042173289
20,5.061533919812424
21,-1.2359447135167767
22,5.59983751895108
23,-0.24860719046003737
24,-1.346992546238731
25,1.2444076296214455
26,4.831718755212117
27,-0.6212302750685413
28,0.7949132505158834
29,4.374149637069606
30,-1.7386836740350426
31,-5.480501988484298
32,1.0986433394836002
33,-1.6101655031969841
34,-1.329544314482683
35,-2.46838372006988
36,3.7937867372368994
37,-3.602575684190036
38,-2.5169648982569526
39,-4.599491625985853
