,pc1
0,220.47643271247944
1,-119.19804414403818
2,-170.79800557217717
3,-385.01132193614603
4,72.06067601716164
5,-62.337800801952305
6,-198.72100187285358
7,89.11313974065898
8,304.3667861029029
9,-119.4601494522335
10,-25.10268176531216
11,-78.92135041038618
12,-248.24788805303118
13,10.88291899902352
14,-138.93079811793982
15,225.15407450710723
16,246.43770534504492
17,198.2129825884196
18,70.55086552224263
19,109.48208543138674
20,-160.37773939159268
21,-146.62362979597597
22,-171.30138178623358
23,-195.42002781935724
24,43.53779749597579
25,-29.676563929366033
26,103.93522084722505
27,-57.72173920918699
28,-139.65835976304874
29,-209.43327158683567
30,76.69341272062164
31,133.32575714359427
32,252.4093344129731
33,95.79123548517921
34,-204.45378109468444
35,34.924756041945244
36,60.911490703573925
37,248.08290129037744
38,312.8536275579595
39,-47.79987375162624
