,pc1,target,phase_label
0,17.694806780081983,284.197,1
1,-9.610827160448665,284.946,1
2,8.235848749953039,283.884,1
3,2.951361429369046,284.252,1
4,-2.751919928749481,285.643,1
5,-25.962693187352723,286.166,1
6,-3.500013190658252,284.354,1
7,6.6831566503315925,283.242,1
8,6.9255153895995845,284.089,1
9,-3.0249124762552047,284.65,1
10,16.130253949701725,283.55,1
11,-7.052462221777465,283.493,1
12,-5.296310264247758,284.007,1
13,-8.142469518913606,284.836,1
14,9.531879654923847,283.751,1
15,3.9796187761606574,285.349,1
16,-17.446882818308858,286.638,1
17,14.981029325335772,283.35,1
18,-9.017197318483028,286.493,1
19,-4.816070769259828,284.57,1
20,9.507554666988185,285.177,1
0,-2.085057152730603,282.943,2
1,-9.319271920813188,282.369,2
2,4.4485127599106065,284.418,2
3,-5.259071978329445,284.738,2
4,-8.182301135064783,284.108,2
5,3.120438072728998,285.161,2
6,-5.43918313095932,283.647,2
7,-26.242747527145582,281.561,2
8,-5.909542445458884,282.413,2
9,-15.457493039823548,282.913,2
10,8.181783331360666,283.261,2
11,22.91986104981293,287.358,2
12,13.918072941574318,283.045,2
13,-9.571158550008782,281.324,2
14,2.600267678333436,284.575,2
15,14.88903355564092,286.611,2
16,14.453442983070858,286.908,2
17,-1.338897855175877,284.115,2
18,-5.010045797000674,283.443,2
19,-1.5290442962467363,285.394,2
20,10.812443823578468,284.784,2
