,years,data,hindcast
0,1981,276.288,275.9192441053545
1,1983,279.392,278.04478902215516
2,1984,276.784,276.4120456667746
3,1985,270.812,274.1430622931164
4,1986,275.801,276.39832252635995
5,1989,278.043,277.3534409650895
6,1991,276.5,276.54837989159097
7,1992,276.297,277.4086949007972
8,1993,278.069,276.11954005661653
9,1997,272.26,274.21778223867597
10,2002,277.709,276.93533195815644
11,2004,277.014,278.0450461977017
12,2005,278.562,276.7552252606661
13,2006,274.907,277.05503234405813
14,2008,279.489,277.35368734110085
15,2009,274.322,275.366167785547
16,2011,276.64,273.2382724841687
17,2012,278.003,278.6193288756545
18,2015,277.328,278.2012733096601
19,2018,278.531,278.61633277675526
20,1980,273.943,275.82719605546475
21,1982,274.72,273.83717432385276
22,1987,271.057,275.6640731597591
23,1988,279.107,277.3935944830491
24,1990,278.845,276.71712843087647
25,1994,278.452,276.3743238171854
26,1995,277.265,277.0939970670629
27,1996,273.074,275.28354231580283
28,1998,277.962,275.81439628290406
29,1999,278.422,276.59131264185856
30,2000,277.795,275.7471620300731
31,2001,275.967,276.5046183185526
32,2003,276.099,276.15552555219784
33,2007,280.328,278.8796765298035
34,2010,273.085,274.48844260592216
35,2013,275.183,274.95199493546386
36,2014,278.727,277.82942285333735
37,2016,278.048,279.98938895837483
38,2017,275.05,278.0882941516053
39,2019,276.946,276.84373548685244
