,years,data,hindcast
0,1980,280.636,280.90460315043384
1,1981,280.887,280.54949293755175
2,1982,280.365,281.49351110997105
3,1983,281.012,280.12179641021584
4,1984,280.48,280.8373733732986
5,1985,281.02,281.13961170332567
6,1986,278.836,280.38011047997924
7,1992,281.38,280.987761075683
8,1993,283.39,281.39074616040045
9,1995,281.704,281.34843340701616
10,1996,281.506,280.92777162142045
11,1999,282.477,283.24530509626555
12,2000,282.301,283.2133760598815
13,2005,282.719,282.2602377397293
14,2006,281.341,282.3809977496687
15,2009,284.289,283.72855532582577
16,2011,285.153,283.9295609926968
17,2012,281.008,282.93679801813107
18,2018,284.252,283.45700844390973
19,2019,283.321,282.8439491445964
20,1987,282.799,281.54415012938443
21,1988,281.178,281.351842383758
22,1989,279.764,279.8420392202849
23,1990,281.554,280.93385791524713
24,1991,281.061,281.1872799368417
25,1994,281.155,281.2546321048651
26,1997,280.565,280.8333861950249
27,1998,281.883,282.53196135938424
28,2001,281.007,281.44564919695074
29,2002,282.097,281.7093028099168
30,2003,282.527,282.80439254389705
31,2004,283.034,282.02691090859076
32,2007,285.113,283.06250974928963
33,2008,281.561,281.6872354572285
34,2010,281.973,282.3863632011696
35,2013,280.442,282.15699570274296
36,2014,284.424,282.46703088893736
37,2015,281.463,282.1753836429097
38,2016,281.366,283.03814146406415
39,2017,281.415,281.9419351895115
